542159,2019,french+ligue+1,167,0000bf,Lyon,165,ffff00,Nantes
542160,2019,french+ligue+1,159,00003e,Bordeaux,160,ef2f24,Paris Saint-Germain 
542161,2019,french+ligue+1,7868,1a1a1a,Angers,3335,000099,SC Amiens
542162,2019,french+ligue+1,7730,ef2f24,Nimes,178,000099,Saint-Etienne
542163,2019,french+ligue+1,176,94cbf6,Marseille,169,ef2f24,Stade Rennes
542164,2019,french+ligue+1,177,8C3140,Metz,179,6000bf,Toulouse
542165,2019,french+ligue+1,179,6000bf,Toulouse,7868,1a1a1a,Angers
542166,2019,french+ligue+1,3335,1a1a1a,SC Amiens,159,ffffff,Bordeaux
542167,2019,french+ligue+1,6997,ef2f24,Brest,167,0000bf,Lyon
542168,2019,french+ligue+1,3170,ef2f24,Dijon FCO,176,94cbf6,Marseille
542169,2019,french+ligue+1,178,C8142F,Saint-Etienne,177,ffffff,Metz
542170,2019,french+ligue+1,174,E91514,AS Monaco,2502,e6e6e6,Nice
542171,2019,french+ligue+1,274,011F68,Montpellier,7730,ef2f24,Nimes
542172,2019,french+ligue+1,165,ffff00,Nantes,169,ef2f24,Stade Rennes
542173,2019,french+ligue+1,160,00003e,Paris Saint-Germain ,3243,ef2f24,Stade de Reims
542174,2019,french+ligue+1,166,ef2f24,Lille,180,0000bf,Strasbourg
542175,2019,french+ligue+1,3243,ef2f24,Stade de Reims,174,1a1a1a,AS Monaco
542176,2019,french+ligue+1,159,00003e,Bordeaux,6997,ef2f24,Brest
542177,2019,french+ligue+1,2502,C60000,Nice,3170,ffffff,Dijon FCO
542178,2019,french+ligue+1,169,ef2f24,Stade Rennes,166,ffe566,Lille
542179,2019,french+ligue+1,176,94cbf6,Marseille,274,011F68,Montpellier
542180,2019,french+ligue+1,180,0000bf,Strasbourg,165,ffff00,Nantes
542181,2019,french+ligue+1,167,0000bf,Lyon,160,00003e,Paris Saint-Germain 
542182,2019,french+ligue+1,177,8C3140,Metz,3335,1a1a1a,SC Amiens
542183,2019,french+ligue+1,7868,1a1a1a,Angers,178,000099,Saint-Etienne
542184,2019,french+ligue+1,7730,ef2f24,Nimes,179,6000bf,Toulouse
