BEGIN
CREATE TABLE
INSERT 0 649
 rk  |            team            |              league               |  str  |  ofs  |  dfs  |  sos  
  86 | Nantes                     | French Ligue 1                    | 1.461 | 1.378 | 0.943 | 1.150
  87 | Krasnodar                  | Russian Premier League            | 1.456 | 1.401 | 0.962 | 1.140
  88 | Sassuolo                   | Italian Serie A                   | 1.452 | 1.450 | 0.999 | 1.200
  89 | Saint-Etienne              | French Ligue 1                    | 1.452 | 1.401 | 0.965 | 1.152
  90 | Athletico Paranaense       | Brazilian Serie A                 | 1.445 | 1.285 | 0.890 | 1.004
  91 | Mainz                      | German Bundesliga                 | 1.431 | 1.356 | 0.948 | 1.261
  92 | Zenit St Petersburg        | Russian Premier League            | 1.429 | 1.305 | 0.914 | 1.102
  93 | Internacional              | Brazilian Serie A                 | 1.428 | 1.187 | 0.832 | 1.031
  94 | Sporting CP                | Portuguese Liga                   | 1.428 | 1.354 | 0.948 | 1.083
  95 | Atlanta United FC          | Major League Soccer               | 1.422 | 1.443 | 1.015 | 0.995
  96 | Stade de Reims             | French Ligue 1                    | 1.418 | 1.152 | 0.813 | 1.150
  97 | América                    | Mexican Liga BBVA Bancomer        | 1.418 | 1.367 | 0.964 | 0.978
  98 | Huesca                     | Spanish Primera División          | 1.412 | 1.385 | 0.981 | 1.373
  99 | Norwich City               | English League Championship       | 1.397 | 1.501 | 1.074 | 1.005
 100 | Newcastle United           | English Premier League            | 1.392 | 1.225 | 0.880 | 1.212
 101 | Nimes                      | French Ligue 1                    | 1.388 | 1.384 | 0.997 | 1.153
 102 | Boca Juniors               | Argentine Superliga               | 1.387 | 1.228 | 0.886 | 1.017
 103 | Balestier Khalsa           | Singaporean Premier League        | 1.384 | 1.351 | 0.977 | 1.208
 104 | Bordeaux                   | French Ligue 1                    | 1.384 | 1.116 | 0.807 | 1.143
 105 | Young Boys                 | Swiss Super League                | 1.382 | 1.572 | 1.138 | 0.970
 106 | Spartak Moscow             | Russian Premier League            | 1.380 | 1.280 | 0.928 | 1.091
 107 | Standard Liege             | Belgian First Division A          | 1.368 | 1.385 | 1.013 | 1.108
 108 | FC Salzburg                | Austrian Bundesliga               | 1.363 | 1.407 | 1.033 | 0.991
 109 | Derby County               | English League Championship       | 1.360 | 1.325 | 0.974 | 1.031
 110 | Feyenoord Rotterdam        | Dutch Eredivisie                  | 1.360 | 1.472 | 1.082 | 0.953
 111 | Sheffield United           | English League Championship       | 1.354 | 1.325 | 0.979 | 1.017
 112 | Southampton                | English Premier League            | 1.353 | 1.334 | 0.985 | 1.245
 113 | Angers                     | French Ligue 1                    | 1.349 | 1.141 | 0.846 | 1.153
 114 | PAOK Salonika              | Greek Super League                | 1.343 | 1.248 | 0.929 | 0.982
 115 | Fortuna Düsseldorf         | German Bundesliga                 | 1.331 | 1.387 | 1.042 | 1.285
 116 | Marseille                  | French Ligue 1                    | 1.329 | 1.436 | 1.081 | 1.183
 117 | Genoa                      | Italian Serie A                   | 1.323 | 1.393 | 1.053 | 1.187
 118 | West Bromwich Albion       | English League Championship       | 1.323 | 1.414 | 1.069 | 1.020
 119 | FK Rubin Kazan             | Russian Premier League            | 1.318 | 1.178 | 0.894 | 1.103
 120 | Istanbul Basaksehir        | Turkish Super Lig                 | 1.317 | 1.100 | 0.835 | 0.990
 121 | Parma                      | Italian Serie A                   | 1.316 | 1.232 | 0.936 | 1.200
 122 | Galatasaray                | Turkish Super Lig                 | 1.308 | 1.407 | 1.076 | 1.048
 123 | U.A.N.L                    | Mexican Liga BBVA Bancomer        | 1.304 | 1.321 | 1.012 | 0.974
 124 | Defensa y Justicia         | Argentine Superliga               | 1.302 | 1.051 | 0.807 | 0.958
 125 | Sporting Kansas City       | Major League Soccer               | 1.300 | 1.380 | 1.062 | 0.984
 126 | Louisville City FC         | USL Championship                  | 1.300 | 1.475 | 1.134 | 0.948
 127 | Burnley                    | English Premier League            | 1.297 | 1.270 | 0.979 | 1.240
 128 | Brest                      | French Ligue 2                    | 1.290 | 1.365 | 1.058 | 0.974
 129 | Anderlecht                 | Belgian First Division A          | 1.281 | 1.318 | 1.029 | 1.070
 130 | Metz                       | French Ligue 2                    | 1.269 | 1.166 | 0.919 | 0.969
 131 | FC Cincinnati              | USL Championship                  | 1.268 | 1.268 | 1.000 | 0.958
 132 | Celtic                     | Scottish Premiership              | 1.263 | 1.296 | 1.026 | 0.862
 133 | Cardiff City               | English Premier League            | 1.262 | 1.275 | 1.011 | 1.263
 134 | FC Cologne                 | German 2. Bundesliga              | 1.260 | 1.484 | 1.178 | 0.933
